t,euler_y,exact_y,error
0,1,1,0
0.25,1,0.9975585820182862,0.0024414179817138226
0.5,0.9922281054276612,0.9817693801036046,0.010458725324056561
0.75,0.9635667195433391,0.9428470908190849,0.020719628724254147
1,0.9055972568759595,0.8748263659237393,0.030770890952220187
1.25,0.8142735191240046,0.7754058893055225,0.03886762981848213
1.5,0.6895357299418206,0.6456811742100936,0.04385455573172692
1.75,0.5348360978732911,0.48975691733744503,0.045079180535846086
2,0.35656555949259533,0.314242936757576,0.042322622735019355
2.25,0.1633874604826609,0.1276493993635232,0.03573806111913769
2.5,-0.034502810318689126,-0.06029323640953923,0.025790426090850103
2.75,-0.22616301162575025,-0.23935676268671213,0.013193751060961878
3,-0.4006978533774286,-0.3995427100863571,0.0011551432910714698
3.25,-0.5480215141831828,-0.5317753013894664,0.016246212793716408
3.5,-0.6595485546575237,-0.6285212657790488,0.031027288878474946
3.75,-0.7287755878158418,-0.6843014651129476,0.04447412270289419
4,-0.7517215301967716,-0.696065238641403,0.05565629155536855
4.25,-0.7272020528634817,-0.6634063071166885,0.06379574574679325
4.5,-0.6569234121260595,-0.5886084602788172,0.06831495184724234
4.75,-0.5453915089522395,-0.47651947044214044,0.0688720385100991
5,-0.3996430934921855,-0.33426207110041334,0.06538102239177218
